entity,period,million_bpd
SAUDI ARABIA,2020,6.2448016939890714
SAUDI ARABIA,2021,6.2937922821917809
SAUDI ARABIA,2022,6.7990394630136981
SAUDI ARABIA,2023,6.1999890000000004
SAUDI ARABIA,2024,5.4776895792349727
SAUDI ARABIA,1Q25,5.2924360222222218
UNITED ARAB EMIRATES,2020,1.8455439726775957
UNITED ARAB EMIRATES,2021,1.8287852821917807
UNITED ARAB EMIRATES,2022,2.2496725287671233
UNITED ARAB EMIRATES,2023,2.0523183452054794
UNITED ARAB EMIRATES,2024,1.8900929781420766
UNITED ARAB EMIRATES,1Q25,1.8260873777777777
IRAQ,2020,2.8955102021857924
IRAQ,2021,2.8521201095890412
IRAQ,2022,3.1772268191780824
IRAQ,2023,3.2466609424657533
IRAQ,2024,3.2236458524590161
IRAQ,1Q25,3.2444031
KUWAIT,2020,1.8640767540983605
KUWAIT,2021,1.7790392712328766
KUWAIT,2022,1.8042563095890409
KUWAIT,2023,1.5778755863013698
KUWAIT,2024,1.3257541338797816
KUWAIT,1Q25,1.4316576000000001
QATAR,2020,0.75779623770491811
QATAR,2021,0.64221346849315064
QATAR,2022,0.65145704109589042
QATAR,2023,0.66222360000000002
QATAR,2024,0.6490193579234973
QATAR,1Q25,0.62986996666666661
IRAN,2020,0.36546605464480869
IRAN,2021,0.76827621095890408
IRAN,2022,0.95739773150684937
IRAN,2023,1.4896456767123289
IRAN,2024,1.3996683715846996
IRAN,1Q25,1.5071044777777776
other,2020,0.29481599726775976
other,2021,0.22570887671232853
other,2022,0.31885242739726039
other,2023,0.31426073150684886
other,2024,0.35274353551912263
other,1Q25,0.27705627777777941
